"","ID","state","attend_online","attend_meet","buttons_signs","donate","contact_congr","registered","party","vote","votechoice","ft_biden","ft_trump","ft_harris","ft_pence","ft_fauci","ft_scotus","ft_congress","ft_police","ft_science","ft_blm","limits_campaigns","limit_imports","immigration","refugees","act_ineq","hist_discrim","econ_mobility","tax_rich","aca","vaccines","reg_emissions","background_checks","freetrade","minwage"
"1",200015,40,"No","No","No","No","No",NA,2,"No",NA,0,100,0,85,50,100,40,85,100,0,"Favor",1,"Decreased a little","Neutral","Favor a great deal","Agree Strongly","A great deal easier","Oppose","Disapprove","Neutral","Neutral","Disapprove","Approve","Same"
"2",200022,16,"Yes","Yes","No","No","No",NA,4,"Yes","Other",15,15,0,0,50,50,15,90,70,70,"Favor",2,"Same","Neutral","Neutral","Disagree Somewhat","A great deal harder","Favor","Disapprove","Neutral","Neutral","Neutral","Neutral","Raised"
"3",200039,51,"No","No","Yes","Yes","Yes",NA,NA,"Yes","Biden",85,0,80,0,100,25,0,40,100,80,"Favor",2,"Increased a lot","Favor","Favor a moderate amount","Agree Strongly","A little harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"4",200046,6,"No","No","No","No","No",NA,2,"Yes","Biden",100,60,85,50,100,85,100,100,85,50,"Favor",1,"Same","Oppose","Favor a moderate amount","Disagree Somewhat","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Same"
"5",200053,8,"No","No","No","No","No",NA,4,"Yes","Trump",0,90,0,95,0,60,10,70,60,0,"Favor",1,"Decreased a lot","Favor","Neutral","Agree somewhat","A great deal harder","Neutral","Neutral","Disapprove","Disapprove","Approve","Disapprove","Eliminated"
"6",200060,48,"No","No","No","Yes","No",NA,NA,"Yes","Biden",100,0,85,15,85,60,85,70,85,70,"Favor",1,"Same","Favor","Neutral","Agree somewhat","Same","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"7",200084,55,"No","No","Yes","No","No",NA,NA,"Yes","Trump",0,70,0,70,0,70,50,60,85,0,"Favor",1,"Decreased a little","Neutral","Neutral","Disagree strongly","A little harder","Favor","Disapprove","Approve","Approve","Approve","Approve","Raised"
"8",200091,28,"No","No","No","No","No",1,NA,"No",NA,50,0,NA,70,NA,50,50,100,NA,NA,"Neutral",2,"Decreased a lot","Favor","Neutral","Disagree strongly","A great deal harder","Favor","Neutral","Approve","Neutral","Approve","Neutral","Raised"
"9",200107,4,"No","No","No","No","No",NA,4,NA,NA,85,0,85,0,30,50,50,60,60,60,"Neutral",2,"Decreased a lot","Oppose","Neutral","Neutral","A great deal harder","Oppose","Disapprove","Approve","Neutral","Approve","Neutral","Raised"
"10",200114,6,"No","No","Yes","No","No",NA,4,"Yes","Biden",70,30,70,50,50,50,40,70,50,50,"Neutral",2,"Increased a litte","Oppose","Neutral","Agree somewhat","A great deal harder","Neutral","Approve","Approve","Neutral","Approve","Neutral","Raised"
"11",200121,24,"No","No","No","No","No",NA,1,"Yes","Biden",100,0,80,0,85,40,50,50,85,0,"Neutral",2,"Decreased a little","Favor","Neutral","Agree somewhat","A little harder","Neutral","Approve","Approve","Disapprove","Approve","Neutral","Same"
"12",200138,55,"No","No","No","No","No",NA,NA,"Yes","Biden",70,0,70,50,70,50,50,70,100,50,"Favor",1,"Decreased a little","Neutral","Oppose a moderate amount","Agree somewhat","Little easier","Neutral","Approve","Approve","Approve","Approve","Neutral","Same"
"13",200152,41,"No","No","No","No","No",1,2,"Yes","Trump",0,100,0,0,50,0,0,50,70,0,"Neutral",1,"Decreased a lot","Oppose","Neutral","Neutral","A little harder","Oppose","Neutral","Neutral","Neutral","Approve","Neutral","Same"
"14",200169,51,"No","No","No","No","Yes",NA,NA,NA,NA,85,0,85,0,85,30,40,0,70,100,"Favor",1,"Increased a lot","Favor","Favor a little","Agree somewhat","A great deal easier","Favor","Approve","Neutral","Approve","Approve","Neutral","Raised"
"15",200176,37,"No","No","No","No","No",2,1,"No",NA,70,40,85,60,60,60,60,60,70,70,"Favor",1,"Same","Neutral","Oppose a moderate amount","Disagree strongly","A great deal easier","Favor","Approve","Approve","Neutral","Approve","Disapprove","Raised"
